"Farm","Field","Trt","Rep","Date.Sampled","Date.Processed","totdry","totdry_2","kgha","kgcha"
"FRF",2,"Graze","A","10/6/2017","1/9/2018",3.5,3.5,3500,1575
"FRF",2,"Graze","A","10/13/2017","1/9/2018",12.33,12.33,12330,5548.5
"FRF",2,"Graze","B","6/1/2017","7/5/2017",6.8,6.8,6800,3060
"FRF",2,"Graze","B","6/8/2017","7/5/2017",0.31,0.31,310,139.5
"FRF",2,"Graze","B","6/13/2017","7/5/2017",3.71,3.71,3710,1669.5
"FRF",2,"Graze","B","6/23/2017","7/5/2017",9.1,9.1,9100,4095
"FRF",2,"Graze","B","6/27/2017","1/8/2018",8.8,8.8,8800,3960
"FRF",2,"Graze","B","7/6/2017","1/8/2018",5.77,5.77,5770,2596.5
"FRF",2,"Graze","B","7/11/2017","1/8/2018",1.46,1.46,1460,657
"FRF",2,"Graze","B","7/20/2017","1/8/2018",7.13,7.13,7130,3208.5
"FRF",2,"Graze","B","7/26/2017","1/8/2018",3.01,3.01,3010,1354.5
"FRF",2,"Graze","B","8/1/2017","1/8/2018",1.52,1.52,1520,684
"FRF",2,"Graze","B","8/9/2017","1/8/2018",1.52,1.52,1520,684
"FRF",2,"Graze","B","8/17/2017","1/8/2018",0.96,0.96,960,432
"FRF",2,"Graze","B","8/23/2017","1/9/2018",2.17,2.17,2170,976.5
"FRF",2,"Graze","B","9/7/2017","1/9/2018",2.47,2.47,2470,1111.5
"FRF",2,"Graze","B","9/13/2017","1/9/2018",1.52,1.52,1520,684
"FRF",2,"Graze","B","9/21/2017","",NA,2.87,2870,1291.5
"FRF",2,"Graze","B","10/6/2017","1/9/2018",4.22,4.22,4220,1899
"FRF",2,"Graze","B","10/13/2017","1/9/2018",2.04,2.04,2040,918
"FRF",2,"Graze","C","6/1/2017","7/5/2017",28.72,28.72,28720,12924
"FRF",2,"Graze","C","6/8/2017","7/5/2017",8.28,8.28,8280,3726
"FRF",2,"Graze","C","6/13/2017","7/5/2017",10.41,10.41,10410,4684.5
"FRF",2,"Graze","C","6/23/2017","7/5/2017",13.06,13.06,13060,5877
"FRF",2,"Graze","C","6/27/2017","1/8/2018",6.23,6.23,6230,2803.5
"FRF",2,"Graze","C","7/6/2017","1/8/2018",14.7,14.7,14700,6615
"FRF",2,"Graze","C","7/11/2017","1/8/2018",7.42,7.42,7420,3339
"FRF",2,"Graze","C","7/20/2017","1/8/2018",1.48,1.48,1480,666
"FRF",2,"Graze","C","7/26/2017","1/8/2018",6.04,6.04,6040,2718
"FRF",2,"Graze","C","8/1/2017","1/8/2018",3.41,3.41,3410,1534.5
"FRF",2,"Graze","C","8/9/2017","1/8/2018",3.41,3.41,3410,1534.5
"FRF",2,"Graze","C","8/17/2017","1/8/2018",2.51,2.51,2510,1129.5
"FRF",2,"Graze","C","8/23/2017","1/9/2018",0.81,0.81,810,364.5
"FRF",2,"Graze","C","9/7/2017","1/9/2018",2.72,2.72,2720,1224
"FRF",2,"Graze","C","9/13/2017","1/9/2018",0.89,0.89,890,400.5
"FRF",2,"Graze","C","9/21/2017","1/9/2018",NA,1.88333333333333,1883.33333333333,847.5
"FRF",2,"Graze","C","10/6/2017","1/9/2018",NA,2.87666666666667,2876.66666666667,1294.5
"FRF",2,"Graze","C","10/13/2017","1/9/2018",3.87,3.87,3870,1741.5
"FRF",3,"Hay","A","6/1/2017","7/5/2017",5.02,5.02,5020,2259
"FRF",3,"Hay","A","6/8/2017","7/5/2017",4.11,4.11,4110,1849.5
"FRF",3,"Hay","A","6/13/2017","7/5/2017",5.22,5.22,5220,2349
"FRF",3,"Hay","A","6/23/2017","7/5/2017",5.25,5.25,5250,2362.5
"FRF",3,"Hay","A","6/27/2017","7/5/2017",8.43,8.43,8430,3793.5
"FRF",3,"Hay","A","7/6/2017","1/8/2018",9.26,9.26,9260,4167
"FRF",3,"Hay","A","7/11/2017","1/8/2018",5.99,5.99,5990,2695.5
"FRF",3,"Hay","A","7/20/2017","1/8/2018",8.56,8.56,8560,3852
"FRF",3,"Hay","A","7/26/2017","1/8/2018",3.5,3.5,3500,1575
"FRF",3,"Hay","A","8/1/2017","1/8/2018",2.45,2.45,2450,1102.5
"FRF",3,"Hay","A","8/9/2017","1/8/2018",2.45,2.45,2450,1102.5
"FRF",3,"Hay","A","8/17/2017","1/8/2018",3.58,3.58,3580,1611
"FRF",3,"Hay","A","8/23/2017","1/9/2018",5.2,5.2,5200,2340
"FRF",3,"Hay","A","9/7/2017","1/9/2018",7.66,7.66,7660,3447
"FRF",3,"Hay","A","9/13/2017","1/9/2018",3.05,3.05,3050,1372.5
"FRF",3,"Hay","A","9/21/2017","1/9/2018",NA,3.68666666666667,3686.66666666667,1659
"FRF",3,"Hay","A","10/6/2017","1/9/2018",NA,4.32333333333333,4323.33333333333,1945.5
"FRF",3,"Hay","A","10/13/2017","1/9/2018",4.96,4.96,4960,2232
"FRF",3,"Hay","B","6/1/2017","7/5/2017",6.82,6.82,6820,3069
"FRF",3,"Hay","B","6/8/2017","7/5/2017",4.77,4.77,4770,2146.5
"FRF",3,"Hay","B","6/13/2017","7/5/2017",9.95,9.95,9950,4477.5
"FRF",3,"Hay","B","6/23/2017","7/5/2017",4.39,4.39,4390,1975.5
"FRF",3,"Hay","B","6/27/2017","7/5/2017",4.82,4.82,4820,2169
"FRF",3,"Hay","B","7/6/2017","1/8/2018",10.28,10.28,10280,4626
"FRF",3,"Hay","B","7/11/2017","1/8/2018",1.25,1.25,1250,562.5
"FRF",3,"Hay","B","7/20/2017","1/8/2018",2.76,2.76,2760,1242
"FRF",3,"Hay","B","7/26/2017","1/8/2018",9.36,9.36,9360,4212
"FRF",3,"Hay","B","8/1/2017","1/8/2018",6.96,6.96,6960,3132
"FRF",3,"Hay","B","8/9/2017","1/8/2018",4.35,4.35,4350,1957.5
"FRF",3,"Hay","B","8/17/2017","1/8/2018",3.51,3.51,3510,1579.5
"FRF",3,"Hay","B","8/23/2017","1/9/2018",4.59,4.59,4590,2065.5
"FRF",3,"Hay","B","9/7/2017","1/9/2018",3.52,3.52,3520,1584
"FRF",3,"Hay","B","9/13/2017","1/9/2018",2.65,2.65,2650,1192.5
"FRF",3,"Hay","B","9/21/2017","1/9/2018",NA,3.50666666666667,3506.66666666667,1578
"FRF",3,"Hay","B","10/6/2017","1/9/2018",NA,4.36333333333333,4363.33333333333,1963.5
"FRF",3,"Hay","B","10/13/2017","1/9/2018",5.22,5.22,5220,2349
