"farm","mgmt","frac","FRF Graze","FRF Hay","ORG Graze","ORG Hay","WNF Graze","WNF Hay"
"FRF","Graze","ag0","0.03 (0.02, 0.03)","0.02 (0.01, 0.04)","0.02 (0.01, 0.03)","0.01 (0.01, 0.02)","0.04 (0.03, 0.08)","0.07 (0.04, 0.1)"
"FRF","Graze","ag2000","0.4 (0.14, 0.61)","0.24 (0.16, 0.34)","0.54 (0.43, 0.69)","0.68 (0.54, 0.81)","0.36 (0.26, 0.47)","0.36 (0.25, 0.53)"
"FRF","Graze","ag250","0.43 (0.3, 0.63)","0.58 (0.53, 0.67)","0.32 (0.18, 0.41)","0.24 (0.15, 0.34)","0.36 (0.33, 0.4)","0.34 (0.23, 0.43)"
"FRF","Graze","ag53","0.12 (0.03, 0.17)","0.13 (0.05, 0.2)","0.06 (0.03, 0.1)","0.03 (0.01, 0.05)","0.18 (0.1, 0.26)","0.18 (0.15, 0.21)"
"FRF","Graze","mwd","2.21 (1.44, 2.87)","1.88 (1.6, 2.36)","3.07 (2.58, 3.65)","3.68 (3.09, 4.2)","2.24 (1.76, 2.75)","2.24 (1.78, 2.92)"
